語,漢字・原文,備註,發音,中文意思
あ,あ,感動詞,1,喂、哎
あ,亜〜,,,亞〜
あ（っ）,あ（っ）,感動詞,1,喂、哎呀
ああ,ああ,感動詞,1,阿、哎呀
ああ,ああ,指示詞,0,那樣、那麼
あい,愛,,1,愛戀、熱愛
あいかわらず,相変わらず,,0,仍舊、照舊
あいさつ（する）,挨拶（する）,,1,寒暄、問候
あいじょう,愛情,,0,愛情
あいず,合図,,1,暗號、信號
アイスクリーム,icecream,,5,冰淇淋
あいする,愛する,,3,愛慕、熱愛
あいそう,愛想,,3,和藹可親、好感
あいだ,間,,0,間、期間、間隔、關係
あいだがら,間柄,,0,（人與人）關係
あいつぐ,相次ぐ,,1,相繼（發生）
あいて,相手,,3,對方、敵手
アイデア//アイディア,idea,,"1,3",創意、主意、觀念
あいにく,生憎,,0,不湊巧、偏偏
あいま,合間,,"0,3",空隙時間、餘暇
あいまい,曖昧,,0,可疑、不正經、曖昧
アイロン,iron,,0,熨斗
あう,会う,,1,遇、遇上
あう,合う,,1,一致、合適
あう,遭う,,1,遭遇
アウト,out,,1,出局、外邊
あえて,敢えて,,1,膽敢
あお,青,,1,青色
あおい,青い,,2,青的、藍色的
あおぐ,扇ぐ,,2,扇
あおぐ,仰ぐ,,2,仰視、尊敬
あおじろい,青白い,,4,青白色的
あか,赤,,1,紅色
あか,垢,,2,污垢
あかい,赤い,,0,紅色的
あかし,証,,0,證據、證明
あかじ,赤字,,0,赤字、虧空
あかす,明かす,,0,說出、道破
あかちゃん,赤ちゃん,,1,嬰兒
あからむ,赤らむ,,3,變紅、紅起來
あかり,明かり、灯り,,0,燈火、光亮
あがり,上がり//〜上がり,,0,上、收入、完成//〜出身、剛
あがる,上がる,,3,上漲、提高、昂揚
あかるい,明るい,,"0,3",明亮、開通
あかんぼう,赤ん坊,,0,嬰兒、幼稚的人
あき,秋,,1,秋天
あき,明き、空き,,0,空的、空隙、空閒
あきらか,明らか,,2,顯亮、明白、明亮
あきらめ,諦め,,"0,4",死心的、斷念的
あきらめる,諦める,,4,死心、斷念
あきる,飽きる,,2,厭煩、膩
あきれる,呆れる,,"0,4",驚訝、吃驚
あく,開く,,"0,2",開、打開
あく,空く,,"0,2",空、空著
あく,悪,,1,壞事、弊端、壞人、邪惡
あくしゅ,握手,,1,握手
アクセサリー,accessory,,"1,3",裝飾品、附屬品
アクセル,accelerator,,1,加速器、油門踏板
アクセント,accent,,1,語調、強勢、重點
あくどい,あくどい,,3,過火的、惡劣的
あくび,欠伸,,0,哈欠
あくま,悪魔,,1,惡魔、魔鬼
あくまで,飽くまで,,"1,2",到底、徹底
あくる,明くる〜,,0,明、翌、下、次
あけがた,明け方,,0,黎明、天剛亮時
あける,開ける,,0,開、打開
あける,明ける,,0,天明、期滿、過年
あげる,上げる、挙げる,,0,舉、懸掛、抬高、舉行
あげる,あげる「お祝いをあげる」,,0,送、給
あげる,揚げる,,0,揚起、炸
あご,顎,,2,下巴、頜、顎
あこがれ,憧れ,,0,憧憬、向往
あこがれる,憧れる,,"0,5",憧憬的、向往的
あさ,朝,,1,早晨、早上
あさ,麻,,2,麻、麻布
あざ,痣,,2,痣
あさい,浅い,,0,淺的、淡的、輕的
あさごはん,朝御飯,,3,早飯、早餐
あさって,明後日,,2,後天
あさねぼう,朝寝坊,,3,賴床
あさましい,浅ましい,,4,卑鄙
あざむく,欺く,,3,欺騙
あざやか,鮮やか,,2,鮮明
あざわらう,嘲笑う,,4,嘲笑
あし,足,,2,腳、腿
あじ,味,,0,味、味道
アジア,Asia,,1,亞洲
あしあと,足跡,,3,足跡
あしからず,悪しからず,,3,請不要見怪
あした,明日,,3,明日、明天
あしもと,足元,,3,腳下
あじわい,味わい,,0,品味
あじわう,味わう,,"0,3",品味
あす,明日,,2,明天、將來
あずかる,預かる,,3,保管
あずける,預ける,,3,保管
あせ,汗,,1,汗水
あせる,焦る,,2,著急
あせる,褪せる「色が〜」,,"0,2",褪色
あそこ,あそこ,,0,那裡
あそび,遊び,,0,遊戲、玩耍
あそぶ,遊ぶ,,0,玩
あたい,値,,0,價值
あたいする,値する,,0,值
あたえる,与える,,0,給予
あたたか,暖か、温か,,"2,3",溫暖、溫和
あたたかい,暖かい、温かい,,4,溫暖、溫和
あたたまる,暖まる、温まる,,4,暖和、取暖
あたためる,暖める、温める,,4,使…暖、使…熱
あたま,頭,,"0,3",頭、腦袋
あたらしい,新しい,,4,新的、新式的
あたり,辺り,,1,附近
あたり,当り//〜当り,,0,碰撞、命中、中奨//每、左右、大約
あたりまえ,当たり前,,0,當然
あたる,当る,,0,照射、當、擔任、碰上、撞上、成功
あちこち,あちこち,,"2,3",到處
あちら,あちら,,0,那邊
あちらこちら,あちらこちら,,4,到處
あつい,厚い,,0,厚的
あつい,暑い,,2,熱、炎熱
あつい,熱い,,2,熱、燙的
あっか,悪化,,0,惡化
あつかい,扱い,,0,對待
あつかう,扱う,,"0,3",對待
あつかましい,厚かましい,,5,無恥
あっけない,呆気ない,,4,太簡單
あっさり,あっさり,,3,清淡
あっしゅく,圧縮,,0,壓縮
あっせん,斡旋,,0,斡旋
あっち,あっち,,3,那邊
あっとう,圧倒,,0,凌駕
あっぱく,圧迫,,0,壓迫
アップ,up,,1,提升、向上
あつまり,集り,,"0,3",聚集、集會
あつまる,集まる,,3,集合、集
あつめる,集める,,3,集中、收集
あつらえる,誂る,,"3,4",訂做
あつりょく,圧力,,2,壓力
あて,〜宛,,0,寄給〜
あて,当て,,0,目標、希望、指望
あてじ,当字、宛字,,0,錯別字、借用字、白字
あてな,宛名,,0,收件人姓名
あてはまる,当て嵌まる,,4,適合
あてはめる,当て嵌める,,4,適用
あてる,当てる,,0,碰、撞、接觸、指名
あてる,宛てる,,0,發給
あと,後,,1,後面
あと,跡、痕,,1,蹟、跡象、痕跡
あと,後〜//〜跡,接辞,1,後方、後//痕
あとつぎ,跡継,,2,後代、後嗣
あとまわし,後回し,,3,緩辦
あな,穴,,2,洞、缺陷
アナウンサー,announcer,,3,廣播員
あなた,貴方,,2,你
あに,兄,,1,哥哥
あね,姉,,0,姐姐、姊姊
あの,あの,指示詞,0,那、那個
あの,あの,感動詞,0,哎、啊、嗯
アパート,apartmentbuilding,,2,公寓
あばれる,暴れる,,0,鬧、放蕩
あびる,浴びる,,"0,3",浴、洗、淋
あぶない,危ない,,"0,3",危險的
あぶら,油、脂,,0,油、脂肪
あぶらえ,油絵,,3,油畫
アフリカ,Africa,,0,非洲
あぶる,炙る、焙る「火に〜」,,2,烘、烤
あふれる,溢れる,,3,滿、溢、充滿
アプローチ,approach,,3,方法、入口、接近
あべこべ,あべこべ,,0,反對、相反
あまい,甘い,,0,甜、甜蜜、姑且、天真、不緊
あまえる,甘える,,0,撒嬌
あまぐ,雨具,,2,雨具
あまくち,甘口,,0,帯甜味的
アマチュア,amateur,,"0,2",外行(人)、業餘
あまど,雨戸,,2,木板套窗
あまやかす,甘やかす,,"0,4",嬌養
あまり,余り,副詞,"0,3",多、多些
あまり,余,名詞,"0,3",餘、剩餘、過度
あまる,余る,,2,餘、剩、過份
あみ,網,,2,網、鐵絲網
あみもの,編物,,2,編織的東西
あむ,編む,,1,編織、編輯
あめ,飴,,0,麥芽糖
あめ,雨,,1,雨、雨天
アメリカ,America,,0,美國
あやうい,危うい,,"0,3",危險
あやしい,怪しい,,0,奇怪的、靠不住
あやつる,操る,,3,要、操縱
あやぶむ,危ぶむ,,3,掛念、擔心
あやふや,あやふや,,0,含糊、靠不住
あやまち,過ち,,"0,3,4",錯、過失
あやまり,誤り,,"3,4",錯誤
あやまる,謝る,,3,道歉
あやまる,誤る,,3,弄錯、錯誤、認錯
あゆみ,歩み,,3,步行、走
あゆむ,歩む,,2,步行、進展
あら,あら,感動詞,1,唉呀！
あらい,荒い,,0,粗暴、粗大
あらう,洗う,,0,洗、調查
あらかじめ,予め,,0,預先
あらし,嵐,,1,風暴
